Player,urlPlayerHeadshot
Goran Dragic,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201609.png
Andre Iguodala,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2738.png
Nikola Vucevic,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202696.png
Terrence Ross,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203082.png
Evan Fournier,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203095.png
Michael Carter-Williams,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203487.png
Khem Birch,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203920.png
Aaron Gordon,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203932.png
Markelle Fultz,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628365.png
Dwayne Bacon,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628407.png
Chuma Okeke,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629643.png
Cole Anthony,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630175.png
