player,salary_rank,team,games_played,player_mvp_calc_avg,salary,team_games_played,games_missed,pvm_rank,rankingish,percentile_rank,color_var,adj_penalty_final,pct_penalized
Luguentz Dort,< $5 M,OKC,51,18.9,1782621,62,11,6.86,0.957,95.7,Great Value,1,0
Dorian Finney-Smith,< $5 M,DAL,62,18.8,4000000,63,1,6.86,0.954,95.4,Great Value,1,0
Myles Turner,$15-20 M,IND,42,18.7,18000000,64,22,20.88,0.387,38.7,Normal,0.82,0.18
Patty Mills,$5-10 M,BKN,63,18.7,5890000,64,1,15.89,0.727,72.7,Normal,1,0
Lauri Markkanen,$15-20 M,CLE,42,18.56,15690909,62,20,20.88,0.355,35.5,Normal,0.84,0.16
Grayson Allen,< $5 M,MIL,52,18.5,4054695,63,11,6.86,0.952,95.2,Great Value,1,0
Alec Burks,$5-10 M,NYK,61,18.3,9536000,62,1,15.89,0.714,71.4,Normal,1,0
Chris Duarte,< $5 M,IND,52,18,3749520,64,12,6.86,0.947,94.7,Great Value,1,0
Herbert Jones,< $5 M,NOP,59,18,1000000,62,3,6.86,0.947,94.7,Great Value,1,0
Evan Fournier,$15-20 M,NYK,60,17.9,18139535,62,2,20.88,0.323,32.3,Normal,1,0
Luke Kennard,$10-15 M,LAC,54,17.8,12727273,65,11,17.66,0.543,54.3,Normal,1,0
Brandon Clarke,< $5 M,MEM,49,17.66,2726880,64,15,6.86,0.944,94.4,Great Value,0.96,0.04
Norman Powell,$15-20 M,LAC,43,17.63,15517242,65,22,20.88,0.29,29,Normal,0.82,0.18
Jerami Grant,$20-25 M,DET,38,17.63,20000000,63,25,22.3,0.25,25,Normal,0.76,0.24
Eric Bledsoe,$15-20 M,LAC,54,17.6,18125000,65,11,20.88,0.258,25.8,Normal,1,0
Terance Mann,< $5 M,LAC,64,17.5,1782621,65,1,6.86,0.942,94.2,Great Value,1,0
Royce O'Neale,$5-10 M,UTA,57,17.5,8678571,61,4,15.89,0.701,70.1,Normal,1,0
Tim Hardaway,$20-25 M,DAL,42,17.3,21306816,63,21,22.3,0.167,16.7,Bad Value,0.84,0.16
