time_quarter,play,time_remaining_final,quarter,away_score,score,home_score,home_team,away_team,score_away,score_home,margin_score,date,leading_team,home_team_full,home_primary_color,away_team_full,away_primary_color,game_description,away_fill,home_fill,scoring_team_color,scoring_team,max_home_lead,max_away_lead,winning_team,losing_team
1:32,R. Williams makes 2-pt dunk from 4 ft (assist by J. Tatum),13.53,3rd Quarter,NA,79-71,+2,BOS,MIA,79,71,-8,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#008348,BOS,4,-13,MIA,BOS
1:06,M. Strus makes 3-pt jump shot from 28 ft (assist by G. Vincent),13.1,3rd Quarter,+3,82-71,NA,BOS,MIA,82,71,-11,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#98002e,MIA,4,-13,MIA,BOS
0:45,R. Williams makes 2-pt layup from 2 ft (assist by D. White),12.75,3rd Quarter,NA,82-73,+2,BOS,MIA,82,73,-9,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#008348,BOS,4,-13,MIA,BOS
0:13,D. White makes free throw 1 of 2,12.22,3rd Quarter,NA,82-74,+1,BOS,MIA,82,74,-8,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#008348,BOS,4,-13,MIA,BOS
0:13,D. White makes free throw 2 of 2,12.22,3rd Quarter,NA,82-75,+1,BOS,MIA,82,75,-7,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#008348,BOS,4,-13,MIA,BOS
0:00,End of 3rd quarter,12,3rd Quarter,End of 3rd quarter,End of 3rd quarter,End of 3rd quarter,BOS,MIA,82,75,-7,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#808080,TIE,4,-13,MIA,BOS
12:00,Start of 4th quarter,12,4th Quarter,Start of 4th quarter,Start of 4th quarter,Start of 4th quarter,BOS,MIA,82,75,-7,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#808080,TIE,4,-13,MIA,BOS
11:52,D. White makes 3-pt jump shot from 27 ft (assist by J. Brown),11.87,4th Quarter,NA,82-78,+3,BOS,MIA,82,78,-4,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#008348,BOS,4,-13,MIA,BOS
11:26,J. Butler makes 2-pt jump shot from 14 ft,11.43,4th Quarter,+2,84-78,NA,BOS,MIA,84,78,-6,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#98002e,MIA,4,-13,MIA,BOS
11:26,J. Butler makes free throw 1 of 1,11.43,4th Quarter,+1,85-78,NA,BOS,MIA,85,78,-7,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#98002e,MIA,4,-13,MIA,BOS
10:58,P. Tucker makes 2-pt jump shot from 11 ft (assist by K. Lowry),10.97,4th Quarter,+2,87-78,NA,BOS,MIA,87,78,-9,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#98002e,MIA,4,-13,MIA,BOS
10:34,G. Williams makes free throw 2 of 2,10.57,4th Quarter,NA,87-80,+1,BOS,MIA,87,80,-7,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#008348,BOS,4,-13,MIA,BOS
10:34,G. Williams makes free throw 1 of 2,10.57,4th Quarter,NA,87-79,+1,BOS,MIA,87,79,-8,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#008348,BOS,4,-13,MIA,BOS
10:17,J. Butler makes 2-pt jump shot from 9 ft (assist by K. Lowry),10.28,4th Quarter,+2,89-80,NA,BOS,MIA,89,80,-9,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#98002e,MIA,4,-13,MIA,BOS
9:59,D. White makes 3-pt jump shot from 26 ft (assist by J. Brown),9.98,4th Quarter,NA,89-83,+3,BOS,MIA,89,83,-6,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#008348,BOS,4,-13,MIA,BOS
9:36,D. White makes 2-pt jump shot from 4 ft (assist by J. Tatum),9.6,4th Quarter,NA,89-85,+2,BOS,MIA,89,85,-4,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#008348,BOS,4,-13,MIA,BOS
7:55,J. Brown makes free throw 1 of 2,7.92,4th Quarter,NA,89-86,+1,BOS,MIA,89,86,-3,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#008348,BOS,4,-13,MIA,BOS
7:55,J. Brown makes free throw 2 of 2,7.92,4th Quarter,NA,89-87,+1,BOS,MIA,89,87,-2,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#008348,BOS,4,-13,MIA,BOS
7:41,J. Butler makes 3-pt jump shot from 24 ft (assist by K. Lowry),7.68,4th Quarter,+3,92-87,NA,BOS,MIA,92,87,-5,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#98002e,MIA,4,-13,MIA,BOS
7:18,M. Smart makes 2-pt layup from 2 ft (assist by A. Horford),7.3,4th Quarter,NA,92-89,+2,BOS,MIA,92,89,-3,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#008348,BOS,4,-13,MIA,BOS
6:40,J. Tatum makes free throw 1 of 2,6.67,4th Quarter,NA,92-90,+1,BOS,MIA,92,90,-2,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#008348,BOS,4,-13,MIA,BOS
6:40,J. Tatum makes free throw 2 of 2,6.67,4th Quarter,NA,92-91,+1,BOS,MIA,92,91,-1,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#008348,BOS,4,-13,MIA,BOS
6:23,J. Butler makes 2-pt jump shot from 4 ft,6.38,4th Quarter,+2,94-91,NA,BOS,MIA,94,91,-3,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#98002e,MIA,4,-13,MIA,BOS
5:31,A. Horford makes 3-pt jump shot from 25 ft (assist by D. White),5.52,4th Quarter,NA,94-94,+3,BOS,MIA,94,94,0,2022-05-27,TIE,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#008348,BOS,4,-13,MIA,BOS
