player,rolling_avg_pts,rolling_avg_ts_percent,rolling_avg_mvp_calc,rolling_avg_plusminus,team,season_avg_ppg,season_ts_percent,season_avg_plusminus,player_mvp_calc_adj,ppg_differential,ppg_diff_rank,ts_differential,ts_diff_rank,plusminus_differential,plusminus_diff_rank,mvp_calc_differential,mvp_calc_diff_rank
Jaden McDaniels,8,0.645,13.1,0.6,MIN,9.2,0.552,0,14.5,-1.2,449th,0.093,70th,0.6,172nd,-1.4,464th
Kyle Anderson,6.4,0.631,12.4,-1.8,MEM,7.6,0.506,0.9,16.6,-1.2,450th,0.125,46th,-2.7,485th,-4.2,533rd
Josh Jackson,5.2,0.394,6.6,-1.4,SAC,6.4,0.491,-3.1,6.3,-1.2,451st,-0.097,520th,1.7,111st,0.3,359th
Alfonzo McKinnie,2.3,0.311,1.3,-4.1,CHI,3.5,0.457,-3.2,2.4,-1.2,452nd,-0.146,562nd,-0.9,363rd,-1.1,449th
Otto Porter,6.9,0.627,16.2,4.8,GSW,8.2,0.58,3.5,16.17,-1.3,453rd,0.047,147th,1.3,134th,0.03,388th
Marquese Chriss,3.2,0.71,2.6,-2.7,DAL,4.5,0.518,-0.3,5.55,-1.3,454th,0.192,20th,-2.4,464th,-2.95,503rd
Doug McDermott,10,0.567,11.1,-2.3,SAS,11.3,0.592,-0.7,10.13,-1.3,455th,-0.025,380th,-1.6,415th,0.97,299th
Elfrid Payton,1.7,0.353,4.4,-1.5,PHX,3,0.397,-0.9,4.73,-1.3,456th,-0.044,429th,-0.6,348th,-0.33,412nd
Jayson Tatum,25.6,0.607,40.9,10.5,BOS,26.9,0.578,8.8,40.8,-1.3,457th,0.029,197th,1.7,112nd,0.1,379th
JaMychal Green,5.1,0.525,5.6,-5.4,DEN,6.4,0.585,-1.3,10,-1.3,458th,-0.06,456th,-4.1,524th,-4.4,538th
Donovan Mitchell,24.6,0.494,30.7,-7.4,UTA,25.9,0.572,3.8,36.8,-1.3,459th,-0.078,498th,-11.2,602nd,-6.1,565th
Frank Jackson,9.2,0.444,13.9,2.9,DET,10.6,0.53,-3.5,8.55,-1.4,460th,-0.086,506th,6.4,11th,5.35,79th
