player,rolling_avg_pts,rolling_avg_ts_percent,rolling_avg_mvp_calc,rolling_avg_plusminus,team,season_avg_ppg,season_ts_percent,season_avg_plusminus,player_mvp_calc_adj,ppg_differential,ppg_diff_rank,ts_differential,ts_diff_rank,plusminus_differential,plusminus_diff_rank,mvp_calc_differential,mvp_calc_diff_rank
Tim Frazier,3.8,0.35,4.4,-7,CLE,3.3,0.398,-6.7,2.78,0.5,188th,-0.048,437th,-0.3,330th,1.62,248th
Ivica Zubac,10.8,0.679,20.3,2.7,LAC,10.3,0.66,-1.7,16.9,0.5,189th,0.019,221st,4.4,35th,3.4,156th
Jalen McDaniels,6.7,0.738,12.9,3.3,CHA,6.2,0.595,0.8,8.19,0.5,190th,0.143,39th,2.5,80th,4.71,111st
Trent Forrest,3.8,0.443,10.8,3.3,UTA,3.3,0.554,1.3,6.51,0.5,191st,-0.111,536th,2,102nd,4.29,121st
Dorian Finney-Smith,11.5,0.6,18.4,2.7,DAL,11,0.604,3,19.4,0.5,192nd,-0.004,322nd,-0.3,329th,-1,446th
Bojan Bogdanovic,18.6,0.565,17.2,-9.4,UTA,18.1,0.598,2.8,22.7,0.5,193rd,-0.033,408th,-12.2,603rd,-5.5,555th
Joe Wieskamp,2.4,0.309,3.6,0,SAS,2,0.494,0,2.33,0.4,194th,-0.185,581st,0,288th,1.27,275th
Rudy Gay,8.5,0.625,17.9,9.1,UTA,8.1,0.539,3.3,10.84,0.4,195th,0.086,76th,5.8,13th,7.06,57th
Cory Joseph,8.4,0.585,14.3,-1.3,DET,8,0.579,-3.1,12.84,0.4,196th,0.006,259th,1.8,106th,1.46,260th
Joe Harris,11.7,0.709,16.6,2.5,BKN,11.3,0.624,1.3,11.33,0.4,197th,0.085,78th,1.2,136th,5.27,86th
Goran Dragic,7.9,0.482,15.5,3.4,BKN,7.5,0.474,0.3,11.25,0.4,198th,0.008,253rd,3.1,65th,4.25,123rd
Rodney Hood,3.4,0.752,7.1,3.5,LAC,3.1,0.493,0.2,4.13,0.3,199th,0.259,14th,3.3,56th,2.97,180th
Isaac Bonga,1.1,0.542,1.2,-3,TOR,0.8,0.363,-2.1,1.13,0.3,200th,0.179,25th,-0.9,370th,0.07,382nd
Stephen Curry,25.8,0.593,39.6,4.2,GSW,25.5,0.602,7.7,38.3,0.3,201st,-0.009,329th,-3.5,505th,1.3,271st
Devon Dotson,2.7,0.751,4,-0.7,CHI,2.4,0.538,-0.2,3.08,0.3,202nd,0.213,18th,-0.5,342nd,0.92,304th
Josh Okogie,3,0.512,5.6,0.9,MIN,2.7,0.526,0.8,4.05,0.3,203rd,-0.014,346th,0.1,200th,1.55,256th
Isaiah Stewart,8.6,0.634,14.6,-4.5,DET,8.3,0.549,-5.2,12.8,0.3,204th,0.085,79th,0.7,163rd,1.8,235th
Willie Cauley-Stein,2,0.519,4.7,1.4,PHI,1.7,0.474,1.2,3.3,0.3,205th,0.045,152nd,0.2,191st,1.4,264th
Jordan Clarkson,16.3,0.623,25.1,7.8,UTA,16,0.532,4.6,23.3,0.3,206th,0.091,73rd,3.2,60th,1.8,233rd
Malik Fitts,1.7,0.925,3.4,1.2,BOS,1.4,0.553,-1.3,1.2,0.3,207th,0.372,11th,2.5,79th,2.2,211st
Luke Kennard,12.2,0.565,19.5,6.2,LAC,11.9,0.619,2.2,17.8,0.3,208th,-0.054,446th,4,43rd,1.7,240th
Petr Cornelie,1.4,0.53,2.2,0.4,DEN,1.1,0.418,0.6,1.58,0.3,209th,0.112,51st,-0.2,323rd,0.62,332nd
Brodric Thomas,2.1,0.572,4.4,1,BOS,1.8,0.52,0.3,2.48,0.3,210th,0.052,137th,0.7,158th,1.92,225th
Patrick Beverley,9.5,0.515,20.6,-1.9,MIN,9.2,0.539,1.9,17.98,0.3,211st,-0.024,377th,-3.8,518th,2.62,196th
Kai Jones,1.3,0.755,2.2,-0.3,CHA,1,0.628,-0.7,0.83,0.3,212nd,0.127,45th,0.4,187th,1.37,266th
Udonis Haslem,2.8,0.557,3.8,-0.9,MIA,2.5,0.495,-1.2,2.25,0.3,213rd,0.062,112nd,0.3,189th,1.55,255th
Marcus Garrett,1.3,0.287,5.2,1.3,MIA,1.1,0.28,1.4,3.53,0.2,214th,0.007,254th,-0.1,319th,1.67,243rd
Jahmi'us Ramsey,3.4,0.655,2.7,-2.7,SAC,3.2,0.468,-1.1,2.48,0.2,215th,0.187,22nd,-1.6,420th,0.22,366th
Thanasis Antetokounmpo,3.8,0.721,3.7,-1.3,MIL,3.6,0.577,-2.4,3.38,0.2,216th,0.144,38th,1.1,143rd,0.32,352nd
Neemias Queta,3.4,0.437,5.5,-0.5,SAC,3.2,0.495,-0.5,4.05,0.2,217th,-0.058,452nd,0,282nd,1.45,262nd
Brandon Boston,6.9,0.465,11.3,1.6,LAC,6.7,0.481,-0.8,7.13,0.2,218th,-0.016,350th,2.4,83rd,4.17,128th
Haywood Highsmith,2.5,0.432,3.8,0.6,MIA,2.3,0.446,-1.9,2.03,0.2,219th,-0.014,344th,2.5,81st,1.77,238th
Troy Brown,4.5,0.493,10,2.9,CHI,4.3,0.525,-0.7,7.6,0.2,220th,-0.032,404th,3.6,50th,2.4,202nd
Kevin Love,13.8,0.62,18.9,-1,CLE,13.6,0.594,1.3,20.3,0.2,221st,0.026,205th,-2.3,458th,-1.4,462nd
Bol Bol,2.7,0.525,3.6,-0.2,DEN,2.5,0.583,0.4,3.08,0.2,222nd,-0.058,451st,-0.6,347th,0.52,336th
Deandre Ayton,17.4,0.625,21.9,-1.3,PHX,17.2,0.656,5.9,23.35,0.2,223rd,-0.031,399th,-7.2,577th,-1.45,466th
Malcolm Brogdon,19.3,0.539,26.1,-6,IND,19.1,0.557,0,22.35,0.2,224th,-0.018,356th,-6,562nd,3.75,142nd
DeMarcus Cousins,9.2,0.658,11.2,-2.2,DEN,9,0.567,0.8,10.58,0.2,225th,0.091,72nd,-3,497th,0.62,330th
Yves Pons,1.3,0.454,1.6,-2.5,MEM,1.1,0.385,-2.5,0.9,0.2,226th,0.069,96th,0,310th,0.7,324th
Tony Bradley,3.1,0.677,4.7,1.2,CHI,2.9,0.6,1.3,5.28,0.2,227th,0.077,85th,-0.1,322nd,-0.58,426th
Jalen Johnson,2.6,0.472,3.6,0.8,ATL,2.4,0.59,-0.9,1.95,0.2,228th,-0.118,540th,1.7,110th,1.65,244th
Jaden Springer,1.1,0.583,1.9,-0.9,PHI,1,1,-4,0.6,0.1,229th,-0.417,605th,3.1,62nd,1.3,269th
Kelly Olynyk,9.2,0.679,17.3,2.3,DET,9.1,0.561,-1.8,11.18,0.1,230th,0.118,48th,4.1,38th,6.12,68th
Myles Powell,1.3,0.466,1.4,-0.9,PHI,1.2,0.364,-1.6,0.6,0.1,231st,0.102,57th,0.7,157th,0.8,311st
Tacko Fall,1.2,0.463,3.6,0.2,CLE,1.1,0.398,0.5,2.48,0.1,232nd,0.065,106th,-0.3,327th,1.12,285th
Derrick Favors,5.4,0.582,9,-1.9,OKC,5.3,0.534,-3.7,5.93,0.1,233rd,0.048,144th,1.8,108th,3.07,175th
Herbert Jones,9.6,0.594,17.1,-1.3,NOP,9.5,0.573,0.9,18,0.1,234th,0.021,213rd,-2.2,454th,-0.9,444th
Chris Chiozza,2.1,0.345,4.6,-1.8,GSW,2,0.412,-1.4,3,0.1,235th,-0.067,470th,-0.4,332nd,1.6,252nd
Davon Reed,4.5,0.556,5.6,-5.4,DEN,4.4,0.624,-0.5,5.78,0.1,236th,-0.068,474th,-4.9,543rd,-0.18,409th
Ayo Dosunmu,8.9,0.451,10.5,-6.3,CHI,8.8,0.596,-2.6,14.2,0.1,237th,-0.145,561st,-3.7,513rd,-3.7,519th
Kevin Pangos,1.7,0.216,2.8,-2.9,CLE,1.6,0.408,-1.4,2.03,0.1,238th,-0.192,583rd,-1.5,411st,0.77,315th
Feron Hunt,0,0,1,-0.5,NYK,0,0,-0.5,0.75,0,239th,0,289th,0,267th,0.25,362nd
Malik Newman,8,0.68,9,1,CLE,8,0.68,1,6.75,0,240th,0,292nd,0,254th,2.25,208th
Tyrell Terry,1,1,0.5,-1,MEM,1,1,-1,0.38,0,241st,0,293rd,0,253rd,0.12,377th
Nate Hinton,0,0,0.3,2,IND,0,0,2,0.23,0,242nd,0,294th,0,246th,0.07,384th
Tre Scott,3,0.5,6.5,2,CLE,3,0.5,2,4.88,0,243rd,0,295th,0,276th,1.62,247th
Scottie Lewis,0.5,0.568,1.3,-2,CHA,0.5,0.568,-2,0.98,0,244th,0,296th,0,277th,0.32,353rd
Matt Ryan,3,0.3,6.5,3,BOS,3,0.3,3,4.88,0,245th,0,297th,0,278th,1.62,249th
Scotty Hopson,4,0.5,0,-6,OKC,4,0.5,-6,0,0,246th,0,298th,0,237th,0,391st
JaQuori McLaughlin,0,0,-0.4,-2.3,DAL,0,0,-2.3,-0.3,0,247th,0,299th,0,233rd,-0.1,400th
Jay Huff,0,0,3.4,3.8,LAL,0,0,3.8,2.55,0,248th,0,300th,0,311st,0.85,307th
M.J. Walker,0,0,3.3,-1.5,PHX,0,0,-1.5,2.48,0,249th,0,301st,0,312nd,0.82,308th
Jarron Cumberland,0.7,0.5,3.2,3,POR,0.7,0.5,3,2.4,0,250th,0,303rd,0,314th,0.8,312nd
Javin DeLaurier,0,NA,4.5,4,MIL,0,NA,4,3.38,0,251st,NA,3rd,0,295th,1.12,287th
DaQuan Jeffries,0.7,0.5,1,-1,MEM,0.7,0.5,-1,0.75,0,252nd,0,305th,0,265th,0.25,363rd
Jaysean Paige,0,0,-4.5,-10,DET,0,0,-10,-3.38,0,253rd,0,306th,0,207th,-1.12,450th
Anthony Lamb,0,0,3,2.5,SAS,0,0,2.5,2.25,0,254th,0,307th,0,302nd,0.75,318th
Arnoldas Kulboka,0,0,-3,-6,CHA,0,0,-6,-2.25,0,255th,0,308th,0,204th,-0.75,441st
Cat Barber,0,0,3.8,3,ATL,0,0,3,2.85,0,256th,0,309th,0,305th,0.95,300th
Michael Porter,9.9,0.415,19.9,6.4,DEN,9.9,0.416,6.4,14.93,0,257th,-0.001,311st,0,208th,4.97,96th
Cameron Oliver,11.5,0.738,16.8,-1,ATL,11.5,0.705,-1,12.6,0,258th,0.033,186th,0,219th,4.2,127th
D.J. Wilson,7.5,0.772,11.1,-4,TOR,7.5,0.773,-4,8.33,0,259th,-0.001,313rd,0,241st,2.77,186th
Reggie Perry,9.2,0.571,10.8,-7.8,POR,9.2,0.537,-7.8,8.1,0,260th,0.034,182nd,0,245th,2.7,191st
