player,team,location,opponent,outcome,mp,fgm,fga,fgpercent,threepfgmade,threepattempted,threepointpercent,ft,fta,ftpercent,oreb,dreb,trb,ast,stl,blk,tov,pf,pts,plusminus,gmsc,date,type,season,game_ts_percent,season_ts_percent,season_avg_ppg,games_played,salary
Miles Bridges,CHA,A,BKN,W,35:12,9,16,0.563,3,5,0.6,11,12,.917,4,5,9,2,2,1,0,2,32,20,31.6,2021-10-24T00:00:00Z,Regular Season,2022,0.752,0.645,25,4,5421493
Miles Bridges,CHA,A,CLE,W,34:47,13,24,0.542,4,9,0.444,0,0,,3,4,7,0,3,0,1,1,30,8,23.3,2021-10-22T00:00:00Z,Regular Season,2022,0.625,0.645,25,4,5421493
Miles Bridges,CHA,H,IND,W,32:57,4,8,0.5,1,4,0.25,4,4,1.000,1,7,8,4,3,1,3,4,13,15,13.7,2021-10-20T00:00:00Z,Regular Season,2022,0.666,0.645,25,4,5421493
Luka Garza,DET,A,ATL,L,12:44,1,2,0.5,0,1,0,0,0,,0,2,2,0,0,1,1,4,2,-22,-0.3,2021-10-25T00:00:00Z,Regular Season,2022,0.5,0.512,2.5,2,925258
Luka Garza,DET,A,CHI,L,6:14,1,2,0.5,0,1,0,1,2,.500,1,1,2,1,2,0,0,1,3,10,4.9,2021-10-23T00:00:00Z,Regular Season,2022,0.521,0.512,2.5,2,925258
Payton Pritchard,BOS,A,CHA,W,13:50,1,3,0.333,1,3,0.333,0,0,,1,1,2,2,0,0,1,3,3,-5,1.5,2021-10-25T00:00:00Z,Regular Season,2022,0.5,0.375,3,4,2137440
Payton Pritchard,BOS,A,HOU,W,15:42,2,6,0.333,2,5,0.4,0,0,,0,2,2,3,0,0,1,1,6,0,3.9,2021-10-24T00:00:00Z,Regular Season,2022,0.5,0.375,3,4,2137440
Payton Pritchard,BOS,H,TOR,L,15:56,1,4,0.25,1,3,0.333,0,0,,0,2,2,2,0,0,0,2,3,-30,1.8,2021-10-22T00:00:00Z,Regular Season,2022,0.375,0.375,3,4,2137440
Payton Pritchard,BOS,A,NYK,L,11:17,0,3,0,0,2,0,0,0,,3,2,5,2,0,1,0,1,0,4,2.3,2021-10-20T00:00:00Z,Regular Season,2022,0,0.375,3,4,2137440
Norman Powell,POR,H,PHX,W,12:25,6,8,0.75,2,4,0.5,2,2,1.000,0,2,2,0,0,0,0,0,16,16,13.4,2021-10-23T00:00:00Z,Regular Season,2022,0.901,0.701,15,2,15517242
Norman Powell,POR,H,SAC,L,35:10,3,9,0.333,1,3,0.333,7,8,.875,0,5,5,0,0,0,1,3,14,3,7.8,2021-10-20T00:00:00Z,Regular Season,2022,0.559,0.701,15,2,15517242
Skylar Mays,ATL,H,DET,W,3:11,0,0,NA,0,0,NA,0,0,,0,0,0,0,0,0,0,0,0,-5,0,2021-10-25T00:00:00Z,Regular Season,2022,NA,1.5,1.5,2,NA
Skylar Mays,ATL,H,DAL,W,3:32,1,1,1,1,1,1,0,0,,0,1,1,0,0,0,0,1,3,-1,2.6,2021-10-21T00:00:00Z,Regular Season,2022,1.5,1.5,1.5,2,NA
Oshae Brissett,IND,H,MIL,L,22:44,1,6,0.167,1,4,0.25,0,0,,1,5,6,2,0,0,1,2,3,-7,1,2021-10-25T00:00:00Z,Regular Season,2022,0.25,0.573,7,3,1701593
Oshae Brissett,IND,H,MIA,W,31:37,7,11,0.636,3,6,0.5,1,3,.333,2,7,9,1,1,0,3,3,18,9,13.3,2021-10-23T00:00:00Z,Regular Season,2022,0.731,0.573,7,3,1701593
Oshae Brissett,IND,A,WAS,L,7:52,0,0,NA,0,0,NA,0,0,,0,0,0,0,0,0,0,1,0,-6,-0.4,2021-10-22T00:00:00Z,Regular Season,2022,NA,0.573,7,3,1701593
Chris Boucher,TOR,H,CHI,L,4:51,1,3,0.333,1,2,0.5,0,0,,2,2,4,0,0,0,0,1,3,-10,2.9,2021-10-25T00:00:00Z,Regular Season,2022,0.5,0.351,5.3,4,7009615
Chris Boucher,TOR,H,DAL,L,8:01,0,5,0,0,3,0,0,0,,0,2,2,1,1,2,1,0,0,-8,-0.8,2021-10-23T00:00:00Z,Regular Season,2022,0,0.351,5.3,4,7009615
Chris Boucher,TOR,A,BOS,W,19:39,4,11,0.364,1,6,0.167,2,2,1.000,1,6,7,0,2,1,1,0,11,11,9.1,2021-10-22T00:00:00Z,Regular Season,2022,0.463,0.351,5.3,4,7009615
Chris Boucher,TOR,H,WAS,L,17:29,3,10,0.3,1,6,0.167,0,0,,1,3,4,0,0,2,1,1,7,-1,2.8,2021-10-20T00:00:00Z,Regular Season,2022,0.35,0.351,5.3,4,7009615
Alec Burks,NYK,H,ORL,L,24:47,3,10,0.3,1,6,0.167,2,3,.667,0,4,4,1,1,1,1,0,9,2,5.4,2021-10-24T00:00:00Z,Regular Season,2022,0.398,0.557,8.7,3,9536000
Alec Burks,NYK,A,ORL,W,18:11,4,7,0.571,4,7,0.571,0,0,,0,2,2,7,0,0,0,1,12,20,13.8,2021-10-22T00:00:00Z,Regular Season,2022,0.857,0.557,8.7,3,9536000
Alec Burks,NYK,H,BOS,W,16:17,2,5,0.4,1,4,0.25,0,0,,0,1,1,1,1,0,0,2,5,-5,3.5,2021-10-20T00:00:00Z,Regular Season,2022,0.5,0.557,8.7,3,9536000
Damion Lee,GSW,A,SAC,W,22:35,4,8,0.5,1,2,0.5,2,2,1.000,1,3,4,0,0,0,0,1,11,6,8.2,2021-10-24T00:00:00Z,Regular Season,2022,0.619,0.591,12.3,3,1910860
Damion Lee,GSW,H,LAC,W,29:23,3,8,0.375,2,3,0.667,3,4,.750,0,1,1,2,0,0,0,2,11,6,7.1,2021-10-21T00:00:00Z,Regular Season,2022,0.564,0.591,12.3,3,1910860
Damion Lee,GSW,A,LAL,W,29:03,4,10,0.4,1,5,0.2,6,6,1.000,0,1,1,2,0,0,0,3,15,9,10.1,2021-10-19T00:00:00Z,Regular Season,2022,0.593,0.591,12.3,3,1910860
Lonnie Walker,SAS,H,MIL,L,24:56,7,15,0.467,1,8,0.125,2,2,1.000,0,2,2,2,1,0,1,2,17,-5,10.5,2021-10-23T00:00:00Z,Regular Season,2022,0.535,0.492,13.3,3,4447896
Lonnie Walker,SAS,A,DEN,L,20:15,2,6,0.333,1,2,0.5,1,2,.500,0,4,4,2,1,0,1,0,6,-14,4.8,2021-10-22T00:00:00Z,Regular Season,2022,0.436,0.492,13.3,3,4447896
Lonnie Walker,SAS,H,ORL,W,25:25,6,17,0.353,3,9,0.333,2,2,1.000,0,6,6,3,1,1,0,4,17,26,11.5,2021-10-20T00:00:00Z,Regular Season,2022,0.475,0.492,13.3,3,4447896
Brandon Ingram,NOP,A,MIN,W,36:27,11,21,0.524,4,7,0.571,1,1,1.000,1,8,9,1,0,0,4,3,27,-2,15.3,2021-10-25T00:00:00Z,Regular Season,2022,0.63,0.569,27,4,29467800
Brandon Ingram,NOP,A,MIN,L,40:16,12,23,0.522,3,7,0.429,3,5,.600,3,3,6,4,1,0,7,4,30,2,16.1,2021-10-23T00:00:00Z,Regular Season,2022,0.595,0.569,27,4,29467800
Brandon Ingram,NOP,A,CHI,L,34:21,10,20,0.5,2,3,0.667,4,5,.800,0,8,8,8,0,0,2,4,26,-8,20,2021-10-22T00:00:00Z,Regular Season,2022,0.586,0.569,27,4,29467800
Brandon Ingram,NOP,H,PHI,L,36:37,12,26,0.462,1,3,0.333,0,0,,0,7,7,6,0,1,4,1,25,-29,14.2,2021-10-20T00:00:00Z,Regular Season,2022,0.481,0.569,27,4,29467800
Grant Williams,BOS,A,CHA,W,24:57,3,6,0.5,1,4,0.25,2,2,1.000,0,1,1,2,1,1,0,2,9,-5,8.6,2021-10-25T00:00:00Z,Regular Season,2022,0.654,0.847,11.8,4,2617800
Grant Williams,BOS,A,HOU,W,30:34,6,8,0.75,5,7,0.714,1,2,.500,1,2,3,2,0,0,0,2,18,8,16.3,2021-10-24T00:00:00Z,Regular Season,2022,1.014,0.847,11.8,4,2617800
Grant Williams,BOS,H,TOR,L,10:23,2,3,0.667,1,1,1,0,0,,0,1,1,1,0,1,1,1,5,-13,4,2021-10-22T00:00:00Z,Regular Season,2022,0.833,0.847,11.8,4,2617800
Grant Williams,BOS,A,NYK,L,31:29,6,9,0.667,3,5,0.6,0,0,,0,5,5,4,1,1,2,5,15,-5,13.1,2021-10-20T00:00:00Z,Regular Season,2022,0.833,0.847,11.8,4,2617800
Dwight Powell,DAL,A,TOR,W,24:37,3,3,1,0,0,NA,5,6,.833,2,0,2,2,1,1,0,4,11,3,12.6,2021-10-23T00:00:00Z,Regular Season,2022,0.975,0.627,7.5,2,11000000
Dwight Powell,DAL,A,ATL,L,20:13,1,5,0.2,0,1,0,2,3,.667,2,2,4,1,1,0,1,2,4,-21,2.4,2021-10-21T00:00:00Z,Regular Season,2022,0.316,0.627,7.5,2,11000000
Petr Cornelie,DEN,H,CLE,L,2:44,0,0,NA,0,0,NA,0,0,,0,0,0,0,0,0,0,0,0,5,0,2021-10-25T00:00:00Z,Regular Season,2022,NA,NA,0,1,NA
Maurice Harkless,SAC,H,GSW,L,22:35,3,5,0.6,2,4,0.5,0,0,,0,3,3,1,0,0,1,1,8,1,5.9,2021-10-24T00:00:00Z,Regular Season,2022,0.8,0.609,7.5,2,4347600
Maurice Harkless,SAC,A,POR,W,22:01,2,6,0.333,0,3,0,3,3,1.000,0,2,2,0,1,1,1,2,7,4,4.1,2021-10-20T00:00:00Z,Regular Season,2022,0.478,0.609,7.5,2,4347600
Zach LaVine,CHI,A,TOR,W,35:20,7,16,0.438,3,7,0.429,5,5,1.000,0,4,4,5,1,0,2,1,22,0,16.9,2021-10-25T00:00:00Z,Regular Season,2022,0.604,0.644,25.5,4,19500000
Zach LaVine,CHI,H,DET,W,33:06,6,18,0.333,2,6,0.333,0,0,,0,4,4,5,0,0,2,1,14,11,6.1,2021-10-23T00:00:00Z,Regular Season,2022,0.389,0.644,25.5,4,19500000
Zach LaVine,CHI,H,NOP,W,31:31,11,19,0.579,6,9,0.667,4,5,.800,1,5,6,5,0,1,6,0,32,7,23.1,2021-10-22T00:00:00Z,Regular Season,2022,0.755,0.644,25.5,4,19500000
Zach LaVine,CHI,A,DET,W,35:20,11,17,0.647,1,5,0.2,11,11,1.000,0,7,7,4,1,1,2,2,34,8,30.3,2021-10-20T00:00:00Z,Regular Season,2022,0.778,0.644,25.5,4,19500000
Sharife Cooper,ATL,H,DET,W,3:11,0,0,NA,0,0,NA,0,0,,0,0,0,1,0,0,1,0,0,-5,-0.3,2021-10-25T00:00:00Z,Regular Season,2022,NA,0,0,2,NA
Sharife Cooper,ATL,H,DAL,W,3:32,0,3,0,0,2,0,0,0,,0,0,0,1,0,0,0,0,0,-1,-1.4,2021-10-21T00:00:00Z,Regular Season,2022,0,0,0,2,NA
Mitchell Robinson,NYK,H,ORL,L,33:22,4,5,0.8,0,0,NA,2,5,.400,4,6,10,1,2,3,1,6,10,4,12.9,2021-10-24T00:00:00Z,Regular Season,2022,0.694,0.712,9,3,1802057
Mitchell Robinson,NYK,A,ORL,W,28:13,3,5,0.6,0,0,NA,0,0,,4,5,9,0,0,0,1,5,6,4,5,2021-10-22T00:00:00Z,Regular Season,2022,0.6,0.712,9,3,1802057
Mitchell Robinson,NYK,H,BOS,W,34:28,5,5,1,0,0,NA,1,4,.250,5,12,17,3,0,2,1,2,11,3,17.1,2021-10-20T00:00:00Z,Regular Season,2022,0.814,0.712,9,3,1802057
Luguentz Dort,OKC,H,PHI,L,37:27,5,11,0.455,1,6,0.167,2,2,1.000,0,4,4,3,1,0,2,2,13,0,8.8,2021-10-24T00:00:00Z,Regular Season,2022,0.547,0.418,9.3,3,1782621
Luguentz Dort,OKC,A,HOU,L,27:07,3,9,0.333,1,5,0.2,1,2,.500,0,1,1,4,2,1,1,2,8,-24,6.5,2021-10-22T00:00:00Z,Regular Season,2022,0.405,0.418,9.3,3,1782621
Luguentz Dort,OKC,A,UTA,L,30:07,2,10,0.2,1,6,0.167,2,4,.500,2,4,6,2,2,0,3,3,7,-21,1.8,2021-10-20T00:00:00Z,Regular Season,2022,0.298,0.418,9.3,3,1782621
Georgios Kalaitzakis,MIL,A,IND,W,0:33,0,0,NA,0,0,NA,0,0,,0,0,0,0,0,0,0,0,0,-2,0,2021-10-25T00:00:00Z,Regular Season,2022,NA,0.457,2.7,3,925258
Georgios Kalaitzakis,MIL,A,MIA,L,17:46,3,5,0.6,1,2,0.5,1,4,.250,1,2,3,0,0,0,3,2,8,-12,2,2021-10-21T00:00:00Z,Regular Season,2022,0.592,0.457,2.7,3,925258
Georgios Kalaitzakis,MIL,H,BKN,W,1:16,0,2,0,0,0,NA,0,0,,2,0,2,0,0,0,0,0,0,2,0,2021-10-19T00:00:00Z,Regular Season,2022,0,0.457,2.7,3,925258
