index,home_team,away_team,proper_date,home_team_rank,home_days_rest,home_team_avg_pts_scored,home_team_avg_pts_scored_opp,home_team_win_pct,home_team_win_pct_last10,home_is_top_players,away_team_rank,away_days_rest,away_team_avg_pts_scored,away_team_avg_pts_scored_opp,away_team_win_pct,away_team_win_pct_last10,away_is_top_players,home_team_predicted_win_pct,away_team_predicted_win_pct
1,Cleveland Cavaliers,Los Angeles Lakers,2022-03-21,13,1,107.2,104.2,0.577,0.5,1,22,1,111.2,114,0.423,0.3,0,0.798,0.202
2,Philadelphia 76ers,Miami Heat,2022-03-21,7,0,108.4,106.5,0.614,0.6,2,3,2,109.5,104.8,0.662,0.7,1,0.468,0.532
5,Houston Rockets,Washington Wizards,2022-03-21,30,0,108.9,118.5,0.239,0.2,2,19,1,108.5,111.6,0.429,0.3,0,0.479,0.521
7,Chicago Bulls,Toronto Raptors,2022-03-21,10,2,112,111.2,0.586,0.2,2,14,0,108.8,107.3,0.563,0.6,1,0.747,0.253
4,Brooklyn Nets,Utah Jazz,2022-03-21,15,2,112.1,111.8,0.521,0.5,1,5,0,114,107.2,0.634,0.6,2,0.376,0.624
3,Charlotte Hornets,New Orleans Pelicans,2022-03-21,16,1,115.1,114.7,0.507,0.6,2,20,0,108.6,109.9,0.423,0.5,1,0.735,0.265
0,Orlando Magic,Golden State Warriors,2022-03-22,28,1,104.2,112.1,0.264,0.4,2,3,1,111.2,105.2,0.662,0.4,1,0.221,0.779
1,New York Knicks,Atlanta Hawks,2022-03-22,21,1,106,106.8,0.423,0.5,2,17,1,112.9,112.1,0.493,0.6,1,0.588,0.412
3,Denver Nuggets,Los Angeles Clippers,2022-03-22,11,1,111.3,108.9,0.583,0.6,2,18,3,106.7,107.9,0.493,0.4,1,0.678,0.322
2,Milwaukee Bucks,Chicago Bulls,2022-03-22,7,2,114.9,111.3,0.62,0.8,0,10,0,112,111,0.592,0.3,2,0.51,0.49
7,Oklahoma City Thunder,Orlando Magic,2022-03-23,27,1,103.1,111,0.278,0,1,28,0,104.1,111.8,0.274,0.5,2,0.479,0.521
0,Detroit Pistons,Atlanta Hawks,2022-03-23,29,1,104.2,112.5,0.264,0.4,1,17,0,113,112.1,0.5,0.6,1,0.378,0.622
8,Dallas Mavericks,Houston Rockets,2022-03-23,9,1,106.7,104.2,0.611,0.7,2,30,1,109,118.2,0.25,0.3,2,0.819,0.181
9,Portland Trail Blazers,San Antonio Spurs,2022-03-23,24,1,107.4,114.2,0.38,0.2,0,23,2,112.7,113.6,0.389,0.4,2,0.315,0.685
4,Miami Heat,Golden State Warriors,2022-03-23,4,1,109.5,104.9,0.653,0.6,2,3,0,110.9,105,0.653,0.4,1,0.649,0.351
5,Boston Celtics,Utah Jazz,2022-03-23,8,1,110.2,103.8,0.616,0.9,2,6,1,113.9,107.3,0.625,0.6,2,0.535,0.465
1,Indiana Pacers,Sacramento Kings,2022-03-23,25,2,110.9,113.2,0.347,0.4,2,26,2,110.5,115.9,0.342,0.2,1,0.67,0.33
10,Los Angeles Lakers,Philadelphia 76ers,2022-03-23,19,1,111.5,114.1,0.431,0.4,0,7,1,108.5,106.5,0.62,0.6,1,0.287,0.713
3,Memphis Grizzlies,Brooklyn Nets,2022-03-23,2,2,114.7,109.3,0.681,0.7,1,15,1,112.1,111.8,0.528,0.6,2,0.702,0.298
2,Charlotte Hornets,New York Knicks,2022-03-23,16,1,115,114.6,0.514,0.7,2,21,0,106.1,106.9,0.417,0.5,1,0.75,0.25
6,Minnesota Timberwolves,Phoenix Suns,2022-03-23,12,1,115.4,112,0.575,0.8,2,1,2,114.9,106.5,0.806,0.8,1,0.437,0.563
