Player,Team,Salary,Total Salary Owed
Michael Carter-Williams,ORL,3000000,6000000
Khem Birch,ORL,3000000,3000000
Ryan Arcidiacono,CHI,3000000,3000000
Aleksej Pokusevski,OKC,2964840,6078000
Goga Bitadze,IND,2957520,6055920
Lonnie Walker IV,SAS,2892000,7339896
Dewayne Dedmon,DET,2866667,14333335
Andrew Nicholson,POR,2844429,11377716
Luka Samanic,SAS,2824320,5783400
Josh Green,DAL,2816760,5774280
Kevin Huerter,ATL,2761920,7015277
Marko Guduric,MEM,2750000,2750000
Alex Caruso,LAL,2750000,2750000
Matisse Thybulle,PHI,2711280,2711280
Saddiq Bey,DET,2689920,5514240
Josh Okogie,MIN,2651040,2651040
Vincent Poirier,PHI,2619207,2619207
Brandon Clarke,MEM,2602920,5329800
Precious Achiuwa,MIA,2582160,5293440
Marc Gasol,LAL,2564753,5257744
Dwight Howard,PHI,2564753,2564753
Udonis Haslem,MIA,2564753,2564753
Jared Dudley,LAL,2564753,2564753
Nicolas Batum,LAC,2564753,2564753
Wayne Ellington,DET,3005225,2564753
J.J. Barea,DAL,2564753,2564753
Jeff Green,BKN,2564753,2564753
Jeff Teague,BOS,2564753,2564753
Grayson Allen,MEM,2545320,6600015
Grant Williams,BOS,2498760,2498760
Tyrese Maxey,PHI,2478840,5081760
Chandler Hutchison,CHI,2443440,6462899
Darius Bazley,OKC,2399160,2399160
Zeke Nnaji,DEN,2379840,4878600
Aaron Holiday,IND,2345640,6326191
Bryn Forbes,MIL,2337145,2337145
E'Twaun Moore,PHX,2331593,2331593
Markieff Morris,LAL,2331593,2331593
Reggie Jackson,LAC,2331593,2331593
Bismack Biyombo,CHA,2331593,2331593
DeMarcus Cousins,HOU,2331593,0
Hassan Whiteside,SAC,2320044,2320044
Kent Bazemore,GSW,2320044,2320044
Alex Len,WAS,4032648,2320000
Luke Kornet,CHI,2304878,2304878
Ty Jerome,OKC,2303040,2303040
Mike Muscala,OKC,2283034,2283034
Ben McLemore,HOU,2283034,2283034
Anfernee Simons,POR,2252040,2252040
Brad Wanamaker,GSW,2250000,2250000
Monta Ellis,IND,2245400,4490800
Nassir Little,POR,2210640,2210640
R.J. Hampton,DEN,2193480,4496520
Matthew Dellavedova,CLE,2174318,2174318
Solomon Hill,ATL,2174318,2174318
Moritz Wagner,WAS,2161920,2161920
Edmond Sumner,IND,2160000,2160000
Dylan Windler,CLE,2137440,4376640
Immanuel Quickley,NYK,2105520,4316160
John Konchar,MEM,2093023,9000000
Landry Shamet,BKN,2090040,5858382
Mfiondu Kabengele,LAC,2075880,2075880
Jordan Poole,GSW,2063280,2063280
Bol Bol,DEN,2058240,4219392
Keldon Johnson,SAS,2048040,4193760
Payton Pritchard,BOS,2035800,4173240
Kevin Porter Jr.,HOU,2033160,4163400
Robert Williams III,BOS,2029920,2029920
Glenn Robinson III,SAC,2028594,2028594
Langston Galloway,PHX,2028594,2028594
Tyler Johnson,BKN,2028594,2028594
Bruno Caboclo,HOU,2028594,50000
Jacob Evans,NYK,2017320,2017320
Dzanan Musa,DET,2002800,2002800
Theo Maledon,OKC,2000000,4000000
Kenrich Williams,OKC,2000000,2000000
Damyean Dotson,CLE,2000000,2000000
Omari Spellman,NYK,1988280,1988280
Cameron Payne,PHX,1977011,1977011
Udoka Azubuike,UTA,1977000,4052880
Jaden McDaniels,MIN,1964760,4028040
Malachi Flynn,TOR,1950600,3998640
Gary Clark,ORL,1944677,3986588
Desmond Bane,MEM,1936440,3969600
Anderson Varejao,POR,1913345,1913345
Jontay Porter,MEM,1904762,6000000
Jahlil Okafor,DET,1882867,4012890
Raul Neto,WAS,1882867,1882867
JaKarr Sampson,IND,1882867,1882867
Jerian Grant,HOU,1882867,1882867
Larry Sanders,MIL,1865547,3731094
David Nwaba,HOU,1862250,1862250
Marquese Chriss,GSW,1824003,800000
Timothe Luwawu-Cabarrot,BKN,1824003,0
Georges Niang,UTA,1783557,0
Rodions Kurucs,HOU,1780152,1780152
Damion Lee,GSW,1762796,600000
Furkan Korkmaz,PHI,1762796,0
Alfonzo McKinnie,LAL,1762796,0
Abdel Nader,PHX,1752950,1752950
Semi Ojeleye,BOS,1752950,1752950
Damian Jones,PHX,1737145,3714156
DeAndre' Bembry,TOR,1737145,1737145
Willy Hernangomez,NOP,1727145,700000
Shake Milton,PHI,1701593,3548331
Thanasis Antetokounmpo,MIL,1701593,1701593
Brandon Goodwin,ATL,1701593,0
Wesley Iwundu,DAL,1678854,3502857
Harry Giles III,POR,1678854,1678854
Dwayne Bacon,ORL,1678854,1678854
Sindarius Thornwell,NOP,1678854,1678854
Torrey Craig,MIL,1678854,1678854
Sterling Brown,HOU,1678854,1678854
Shaquille Harrison,UTA,1678854,0
Monte Morris,DEN,1663861,27000000
Gary Trent Jr.,POR,1663861,1663861
Hamidou Diallo,OKC,1663861,1663861
Mitchell Robinson,NYK,1663861,1663861
Kendrick Nunn,MIA,1663861,1663861
Duncan Robinson,MIA,1663861,1663861
Svi Mykhailiuk,DET,1663861,1663861
Jalen Brunson,DAL,1663861,1663861
Isaac Bonga,WAS,1663861,0
Melvin Frazier,ORL,1663861,0
Jarred Vanderbilt,MIN,1663861,0
Devonte' Graham,CHA,1663861,0
Bruce Brown,BKN,1663861,0
Drew Eubanks,SAS,1620564,2120564
Josh Gray,OKC,1620564,1620564
Wenyen Gabriel,NOP,1620564,1620564
Terance Mann,LAC,1517984,1517984
Admiral Schofield,OKC,1517981,3300602
KZ Okpala,MIA,1517981,3300602
Eric Paschall,GSW,1517981,3300602
Cody Martin,CHA,1517981,3300602
Nicolas Claxton,BKN,1517981,3300602
Carsen Edwards,BOS,1517981,3300602
Bruno Fernando,ATL,1517981,3300602
Luguentz Dort,OKC,1517981,2142981
Justin James,SAC,1517981,1517981
Isaiah Roby,OKC,1517981,1517981
Ignas Brazdeikis,NYK,1517981,1517981
Chris Silva,MIA,1517981,1517981
Talen Horton-Tucker,LAL,1517981,1517981
Jalen Lecque,IND,1517981,1517981
Daniel Gafford,CHI,1517981,1517981
Alen Smailagic,GSW,1517981,1517581
Matt Thomas,TOR,1517981,725000
Miye Oni,UTA,1517981,0
Terence Davis,TOR,1517981,0
Naz Reid,MIN,1517981,0
Jaylen Nowell,MIN,1517981,0
Chris Clemons,HOU,1517981,0
Mychal Mulder,GSW,1517981,0
Dean Wade,CLE,1517981,0
Jalen McDaniels,CHA,1517981,0
Caleb Martin,CHA,1517981,0
Javonte Green,BOS,1517981,0
Robert Woodard,SAC,1500000,3317981
J.R. Smith,CLE,1456667,2913333
Jae'Sean Tate,HOU,1445967,50000
DaQuan Jeffries,SAC,1445697,1445697
Zylan Cheatham,OKC,1445697,1445697
Isaiah Hartenstein,DEN,1445697,1445697
Kelan Martin,IND,1445697,722848
Vernon Carey Jr.,CHA,1350000,4650602
Xavier Tillman Sr.,MEM,1300000,4600602
Tyrell Terry,DAL,1289846,4590448
Guerschon Yabusele,BOS,1039080,2078160
Jahmi'us Ramsey,SAC,1000000,2517981
Quinn Cook,LAL,1000000,1000000
Nick Richards,CHA,1000000,1000000
Kyle Singler,OKC,999200,2997600
Deividas Sirvydis,DET,898310,4198912
