player,team,full_team,season_avg_ppg,playoffs_avg_ppg,season_ts_percent,playoffs_ts_percent,games_played,playoffs_games_played,ppg_rank,top20_scorers,player_mvp_calc_adj,games_missed,penalized_games_missed,top5_candidates,mvp_rank
Seth Curry,BKN,Brooklyn Nets,15,14.5,0.615,0.719,64,4,93,Other,22.37,18,2,Other,85
Malcolm Brogdon,IND,Indiana Pacers,19.1,NA,0.557,NA,36,NA,44,Other,22.35,46,30,Other,86
Jarrett Allen,CLE,Cleveland Cavaliers,16.1,NA,0.698,NA,56,NA,77,Other,21.52,26,10,Other,87
Wendell Carter,ORL,Orlando Magic,15,NA,0.601,NA,62,NA,94,Other,21.16,20,4,Other,88
Dillon Brooks,MEM,Memphis Grizzlies,18.4,14.6,0.515,0.44,32,11,49,Other,20.85,50,34,Other,89
Kevin Porter,HOU,Houston Rockets,15.6,NA,0.532,NA,61,NA,82,Other,20.7,21,5,Other,90
Klay Thompson,GSW,Golden State Warriors,20.4,19,0.547,0.551,32,22,33,Other,20.7,50,34,Other,91
Buddy Hield,IND,Indiana Pacers,15.6,NA,0.549,NA,81,NA,81,Other,20.6,1,0,Other,92
Franz Wagner,ORL,Orlando Magic,15.2,NA,0.559,NA,79,NA,87,Other,20.6,3,0,Other,93
Caris LeVert,CLE,Cleveland Cavaliers,17,NA,0.525,NA,58,NA,68,Other,20.58,24,8,Other,94
Alec Burks,NYK,New York Knicks,11.7,NA,0.559,NA,81,NA,139,Other,20.4,1,0,Other,97
Ricky Rubio,CLE,Cleveland Cavaliers,13.1,NA,0.488,NA,34,NA,118,Other,20.4,48,32,Other,95
Saddiq Bey,DET,Detroit Pistons,16.1,NA,0.529,NA,82,NA,76,Other,20.4,0,0,Other,96
Steven Adams,MEM,Memphis Grizzlies,6.9,3.4,0.561,0.464,76,7,303,Other,20.4,6,0,Other,98
Jae Crowder,PHX,Phoenix Suns,9.4,9.4,0.541,0.524,67,13,197,Other,20.3,15,0,Other,100
Kevin Love,CLE,Cleveland Cavaliers,13.6,NA,0.594,NA,74,NA,107,Other,20.3,8,0,Other,101
Montrezl Harrell,CHA,Charlotte Hornets,13.2,NA,0.68,NA,71,NA,116,Other,20.3,11,0,Other,99
De'Anthony Melton,MEM,Memphis Grizzlies,10.8,5.6,0.529,0.419,73,10,160,Other,20.2,9,0,Other,102
Malik Monk,LAL,Los Angeles Lakers,13.8,NA,0.597,NA,76,NA,104,Other,20.1,6,0,Other,103
OG Anunoby,TOR,Toronto Raptors,17.1,17.3,0.548,0.584,48,6,67,Other,20.03,34,18,Other,104
Kelly Oubre,CHA,Charlotte Hornets,15,NA,0.559,NA,76,NA,91,Other,20,6,0,Other,105
Lauri Markkanen,CLE,Cleveland Cavaliers,14.8,NA,0.582,NA,61,NA,96,Other,19.98,21,5,Other,106
Harrison Barnes,SAC,Sacramento Kings,16.4,NA,0.623,NA,77,NA,71,Other,19.8,5,0,Other,108
Lonzo Ball,CHI,Chicago Bulls,13,NA,0.575,NA,35,NA,119,Other,19.8,47,31,Other,107
Devin Vassell,SAS,San Antonio Spurs,12.3,NA,0.54,NA,71,NA,129,Other,19.7,11,0,Other,109
Devonte' Graham,NOP,New Orleans Pelicans,11.9,4,0.514,0.558,76,6,136,Other,19.6,6,0,Other,111
Jusuf Nurkic,POR,Portland Trail Blazers,15,NA,0.586,NA,56,NA,90,Other,19.6,26,10,Other,110
Dennis Schroder,HOU,Houston Rockets,13.5,NA,0.539,NA,64,NA,108,Other,19.58,18,2,Other,112
Cameron Johnson,PHX,Phoenix Suns,12.5,10.8,0.625,0.619,66,13,125,Other,19.5,16,0,Other,113
Dorian Finney-Smith,DAL,Dallas Mavericks,11,11.7,0.604,0.63,80,18,154,Other,19.4,2,0,Other,115
Immanuel Quickley,NYK,New York Knicks,11.3,NA,0.543,NA,78,NA,145,Other,19.4,4,0,Other,114
Kevin Huerter,ATL,Atlanta Hawks,12.1,9.2,0.57,0.472,74,5,131,Other,19.3,8,0,Other,116
Tyus Jones,MEM,Memphis Grizzlies,8.7,9.2,0.544,0.521,73,12,225,Other,19.1,9,0,Other,117
John Collins,ATL,Atlanta Hawks,16.2,9.4,0.611,0.541,54,5,75,Other,18.85,28,12,Other,118
P.J. Washington,CHA,Charlotte Hornets,10.3,NA,0.586,NA,65,NA,174,Other,18.72,17,1,Other,119
Evan Fournier,NYK,New York Knicks,14.1,NA,0.554,NA,80,NA,103,Other,18.5,2,0,Other,120
Brandon Clarke,MEM,Memphis Grizzlies,10.4,12.3,0.66,0.645,64,12,172,Other,18.24,18,2,Other,121
Anfernee Simons,POR,Portland Trail Blazers,17.3,NA,0.583,NA,57,NA,61,Other,18.04,25,9,Other,122
Herbert Jones,NOP,New Orleans Pelicans,9.5,10.7,0.573,0.596,78,6,196,Other,18,4,0,Other,123
Terance Mann,LAC,Los Angeles Clippers,10.8,NA,0.573,NA,81,NA,158,Other,18,1,0,Other,124
Patrick Beverley,MIN,Minnesota Timberwolves,9.2,11,0.539,0.562,58,6,203,Other,17.98,24,8,Other,125
Draymond Green,GSW,Golden State Warriors,7.5,8,0.582,0.534,46,22,276,Other,17.93,36,20,Other,126
Carmelo Anthony,LAL,Los Angeles Lakers,13.3,NA,0.579,NA,69,NA,113,Other,17.8,13,0,Other,129
Grayson Allen,MIL,Milwaukee Bucks,11.1,8.3,0.609,0.576,66,12,150,Other,17.8,16,0,Other,130
Jalen Green,HOU,Houston Rockets,17.3,NA,0.547,NA,67,NA,60,Other,17.8,15,0,Other,128
Luke Kennard,LAC,Los Angeles Clippers,11.9,NA,0.619,NA,70,NA,135,Other,17.8,12,0,Other,127
Gordon Hayward,CHA,Charlotte Hornets,15.9,NA,0.57,NA,49,NA,80,Other,17.78,33,17,Other,131
Jerami Grant,DET,Detroit Pistons,19.2,NA,0.556,NA,47,NA,42,Other,17.78,35,19,Other,132
Danilo Gallinari,ATL,Atlanta Hawks,11.7,10.2,0.579,0.512,66,5,140,Other,17.5,16,0,Other,133
Andre Drummond,BKN,Brooklyn Nets,7.9,3.8,0.574,0.568,73,4,260,Other,17.4,9,0,Other,135
Robert Covington,LAC,Los Angeles Clippers,8.5,NA,0.571,NA,71,NA,234,Other,17.4,11,0,Other,134
Isaiah Hartenstein,LAC,Los Angeles Clippers,8.3,NA,0.664,NA,68,NA,241,Other,17.3,14,0,Other,136
Kentavious Caldwell-Pope,WAS,Washington Wizards,13.2,NA,0.567,NA,77,NA,114,Other,17.2,5,0,Other,137
Josh Hart,POR,Portland Trail Blazers,14.9,NA,0.61,NA,54,NA,95,Other,17.1,28,12,Other,139
Myles Turner,IND,Indiana Pacers,12.9,NA,0.613,NA,42,NA,122,Other,17.1,40,24,Other,138
Mitchell Robinson,NYK,New York Knicks,8.5,NA,0.722,NA,72,NA,235,Other,17,10,0,Other,140
Cameron Payne,PHX,Phoenix Suns,10.8,4.2,0.5,0.352,58,13,157,Other,16.97,24,8,Other,141
Davion Mitchell,SAC,Sacramento Kings,11.5,NA,0.488,NA,75,NA,142,Other,16.9,7,0,Other,144
Ivica Zubac,LAC,Los Angeles Clippers,10.3,NA,0.66,NA,76,NA,175,Other,16.9,6,0,Other,142
Patty Mills,BKN,Brooklyn Nets,11.4,6.3,0.562,0.781,81,4,144,Other,16.9,1,0,Other,143
Malik Beasley,MIN,Minnesota Timberwolves,12.1,8.5,0.544,0.547,79,6,132,Other,16.8,3,0,Other,145
